	ID	Chromosome	Start	End	MidPoint	Subject1.Original	Subject1.Smoothed	Subject1.Status	Another.Original	Another.Smoothed	Another.Status	TheThird.Original	TheThird.Smoothed	TheThird.Status	Afourth.Original	Afourth.Smoothed	Afourth.Status	Fifth.Original	Fifth.Smoothed	Fifth.Status
1	Hs.335293	1	919727	933520	926623.5	0.6105	0.1755	1	0.726	0	0	0.981	0.0575	1	0.461	0.105	0	0.097	-0.053	0
2	Hs.273330	1	995619	1031419	1013519	0.2505	0.1755	1	0.108	0	0	0.699	0.0575	1	0.634	0.105	0	0.225	-0.053	0
3	Hs.212680	1	1178810	1182012	1180411	0.3665	0.1755	1	0.038	0	0	-0.582	0.0575	1	-0.23	0.105	0	0.565	-0.053	0
4	Hs.129780	1	1186642	1189441	1188041.5	0.2715	0.1755	1	0.028	0	0	-0.009	0.0575	1	-0.178	0.105	0	0.15	-0.053	0
5	Hs.42806	1	1192234	1196654	1194444	0.0735	0.1755	1	0.042	0	0	0.051	0.0575	1	-0.178	0.105	0	0.017	-0.053	0
6	Hs.156454	1	1249349	1250282	1249815.5	0.0635	0.1755	1	0.007	0	0	1.278	0.0575	1	0.253	0.105	0	0.267	-0.053	0
7	Hs.21446	1	1267692	1281232	1274462	0.3185	0.1755	1	-0.076	0	0	-0.064	0.0575	1	0.327	0.105	0	0.035	-0.053	0
8	Hs.76239	1	1327994	1337080	1332537	0.3155	0.1755	1	0.285	0	0	0.57	0.0575	1	0.372	0.105	0	0.000999999999999997	-0.053	0
9	Hs.156668	1	1354049	1354389	1354219	-0.2295	0.1755	1	0.024	0	0	1.744	0.0575	1	-0.297	0.105	0	0.096	-0.053	0
10	Hs.143601	1	1410464	1419956	1415210	-0.2405	0.1755	1	0.493	0	0	-0.325	0.0575	1	-0.037	0.105	0	0.021	-0.053	0
11	Hs.30026	1	1582998	1595231	1589114.5	-0.073	0.1755	1	0.2285	0	0	0.369	0.0575	1	-0.039	0.105	0	0.0735	-0.053	0
12	Hs.456572	1	1662225	1662575	1662400	0.3775	0.1755	1	-0.484	0	0	0.361	0.0575	1	-0.046	0.105	0	0.237	-0.053	0
13	Hs.304694	1	1762540	1766002	1764271	0.1275	0.1755	1	-0.097	0	0	-0.271	0.0575	1	-0.083	0.105	0	-0.213	-0.053	0
14	Hs.113882	1	1983004	1994352	1988678	0.5595	0.1755	1	-0.108	0	0	-0.13	0.0575	1	-0.218	0.105	0	-0.239	-0.053	0
15	Hs.107101	1	2153144	2157186	2155165	0.2945	0.1755	1	0.05525	0	0	-0.02275	0.0575	1	0.29125	0.105	0	0.137	-0.053	0
16	Hs.2969	1	2192295	2271618	2231956.5	0.255833333333333	0.1755	1	0.0816666666666667	0	0	0.436666666666667	0.0575	1	0.278333333333333	0.105	0	-0.295	-0.053	0
17	Hs.40500	1	2357605	2366817	2362211	0.2025	0.1755	1	0.058	0	0	0.898	0.0575	1	0.145	0.105	0	0.422	-0.053	0
18	Hs.449936	1	2368402	2376172	2372287	0.2915	0.1755	1	-0.006	0	0	1.03	0.0575	1	0.311	0.105	0	-0.41	-0.053	0
19	Hs.279899	1	2521454	2526941	2524197.5	0.3525	0.1755	1	0.144	0	0	-0.051	0.0575	1	-0.015	0.105	0	0.325	-0.053	0
20	Hs.87435	1	3394396	3420832	3407614	0.4965	0.1755	1	-0.192	0	0	0.221	0.0575	1	0.656	0.105	0	0.532	-0.053	0
21	Hs.124863	1	3428757	3429384	3429070.5	-0.3895	0.1755	1	0.412	0	0	-0.29	0.0575	1	0.211	0.105	0	-0.36	-0.053	0
22	Hs.20529	1	3564722	3569848	3567285	0.0745	0.1755	1	-0.09	0	0	0.022	0.0575	1	0.023	0.105	0	0.188	-0.053	0
23	Hs.49658	1	3675706	3687043	3681374.5	0.0675	0.1755	1	-0.16	0	0	0.2135	0.0575	1	0.1305	0.105	0	-0.285	-0.053	0
24	Hs.22047	1	3712544	3715677	3714110.5	0.2625	0.1755	1	0.305	0	0	1.54	0.0575	1	0.491	0.105	0	0.005	-0.053	0
25	Hs.133089	1	3797001	3825148	3811074.5	-0.1335	0.1755	1	-0.068	0	0	0.493	0.0575	1	0.022	0.105	0	-0.202	-0.053	0
26	Hs.25924	1	4625477	4754223	4689850	-0.1645	0.1755	1	0.213	0	0	-0.744	0.0575	1	-0.353	0.105	0	-0.41	-0.053	0
27	Hs.388126	1	6096118	6174449	6135283.5	0.4495	0.1755	1	0.075	0	0	0.724	0.0575	1	0.369	0.105	0	0.097	-0.053	0
28	Hs.444729	1	6211554	6215125	6213339.5	0.1965	0.1755	1	0.036	0	0	0.191	0.0575	1	0.423	0.105	0	0.139	-0.053	0
29	Hs.7967	1	6243121	6255301	6249211	-0.0105	0.1755	1	0.068	0	0	0.365	0.0575	1	0.352	0.105	0	0.005	-0.053	0
30	Hs.435092	1	6258598	6388087	6323342.5	0.1875	0.1755	1	0.861	0	0	0.377	0.0575	1	-0.061	0.105	0	-0.215	-0.053	0
31	Hs.118727	1	6409561	6418996	6414278.5	0.5505	0.1755	1	-0.06	0	0	-0.02	0.0575	1	0.1	0.105	0	0.101	-0.053	0
32	Hs.251216	1	6454362	6454703	6454532.5	0.2695	0.1755	1	0.166	0	0	0.251	0.0575	1	0.277	0.105	0	-0.118	-0.053	0
33	Hs.299558	1	6455477	6460501	6457989	0.3115	0.1755	1	0.159	0	0	0.803	0.0575	1	0.169	0.105	0	0.0125	-0.053	0
34	Hs.502330	1	6579627	6583598	6581612.5	0.0045	0.1755	1	0.318	0	0	-0.269	0.0575	1	0.342	0.105	0	-0.202	-0.053	0
35	Hs.7764	1	6585044	6597327	6591185.5	0.2975	0.1755	1	0.065	0	0	-0.173	0.0575	1	0.685	0.105	0	-0.191	-0.053	0
36	Hs.7299	1	6608010	6618323	6613166.5	0.2345	0.1755	1	0.075	0	0	-0.17	0.0575	1	0.079	0.105	0	-0.283	-0.053	0
37	Hs.462626	1	6655279	6655816	6655547.5	-0.0285	0.1755	1	-0.265	0	0	0.235	0.0575	1	-0.177	0.105	0	-0.136	-0.053	0
38	Hs.253254	1	6779649	7762169	7270909	0.0495	0.1755	1	-0.051	0	0	-0.0415	0.0575	1	-0.0535	0.105	0	-0.605	-0.053	0
39	Hs.66708	1	7765594	7775758	7770676	-0.0865	0.1755	1	-0.274	0	0	-0.65	0.0575	1	-0.419	0.105	0	-0.643	-0.053	0
40	Hs.446589	1	8011308	8012093	8011700.5	-0.2745	0.1755	1	-0.083	0	0	-0.444	0.0575	1	0.114	0.105	0	-0.319	-0.053	0
41	Hs.11169	1	8006048	8020634	8013341	0.3945	0.1755	1	0.214	0	0	-0.115	0.0575	1	0.06	0.105	0	0.13	-0.053	0
42	Hs.128740	1	8312151	8338339	8325245	0.0665	0.1755	1	-0.206	0	0	0.226	0.0575	1	0.258	0.105	0	-0.267	-0.053	0
43	Hs.119887	1	8435363	8435839	8435601	0.0325	0.1755	1	-0.083	0	0	-0.0405	0.0575	1	0.08975	0.105	0	-0.27575	-0.053	0
44	Hs.194369	1	8346722	8811790	8579256	-0.1505	0.1755	1	0.374	0	0	0.073	0.0575	1	0.35	0.105	0	0.096	-0.053	0
45	Hs.433455	1	8855328	8873012	8864170	0.138	0.1755	1	0.036	0	0	0.3045	0.0575	1	0.155	0.105	0	0.0505	-0.053	0
46	Hs.33084	1	9034404	9063929	9049166.5	0.021	0.1755	1	0.1945	0	0	0.1255	0.0575	1	0.3565	0.105	0	-0.0145	-0.053	0
47	Hs.458389	1	9287249	9363857	9325553	0.2795	0.1755	1	0.164	0	0	0.941	0.0575	1	0.266	0.105	0	-0.065	-0.053	0
48	Hs.443826	1	9533823	9577097	9555460	-0.4885	0.1755	1	-0.059	0	0	-0.705	0.0575	1	0.319	0.105	0	-0.402	-0.053	0
49	Hs.22293	1	9583236	9609197	9596216.5	0.3765	0.1755	1	-0.0235	0	0	0.2175	0.0575	1	0.248	0.105	0	-0.082	-0.053	0
50	Hs.426967	1	9646068	9723249	9684658.5	0.201	0.1755	1	-0.2555	0	0	-0.0215	0.0575	1	0.0945	0.105	0	-0.0845	-0.053	0
51	Hs.29665	1	9723351	9818850	9771100.5	0.3415	0.1755	1	0.094	0	0	-0.038	0.0575	1	0.242	0.105	0	-0.206	-0.053	0
52	Hs.108222	1	9842599	9878065	9860332	-0.0175	0.1755	1	0.038	0	0	-0.133	0.0575	1	-0.19	0.105	0	0.211	-0.053	0
53	Hs.386404	1	10027308	10175563	10101435.5	0.0625	0.1755	1	0.1635	0	0	0.2375	0.0575	1	-0.0185	0.105	0	0.246	-0.053	0
54	Hs.392837	1	10393350	10414467	10403908.5	-0.0235	0.1755	1	-0.181	0	0	-0.275	0.0575	1	0.127	0.105	0	-0.069	-0.053	0
55	Hs.19851	1	10469277	10625081	10547179	0.1495	0.1755	1	-0.088	0	0	0.145	0.0575	1	0.108	0.105	0	-0.3	-0.053	0
56	Hs.300624	1	11006944	11019815	11013379.5	-0.3205	0.1755	1	0.282	0	0	-0.261	0.0575	1	-0.549	0.105	0	-0.434	-0.053	0
57	Hs.119983	1	11020845	11041551	11031198	0.2895	0.1755	1	-0.2945	0	0	0.15	0.0575	1	0.039	0.105	0	-0.605	-0.053	0
58	Hs.321234	1	11060944	11094191	11077567.5	-0.1325	0.1755	1	-0.079	0	0	0.302	0.0575	1	0.324	0.105	0	0.269	-0.053	0
59	Hs.338207	1	11100857	11256832	11178844.5	-0.0655	0.1755	1	0.254	0	0	-0.085	0.0575	1	-0.057	0.105	0	-0.055	-0.053	0
60	Hs.443567	1	11267528	11282251	11274889.5	0.5965	0.1755	1	0.081	0	0	0.421	0.0575	1	0.294	0.105	0	-0.18	-0.053	0
61	Hs.132753	1	11642713	11649005	11645859	0.4275	0.1755	1	0.151	0	0	0.986	0.0575	1	0.094	0.105	0	-0.351	-0.053	0
62	Hs.321687	1	11648697	11657466	11653081.5	0.3715	0.1755	1	-0.211	0	0	0.049	0.0575	1	-0.337	0.105	0	0.289	-0.053	0
63	Hs.284226	1	11658446	11668677	11663561.5	-0.2665	0.1755	1	-0.089	0	0	-0.236	0.0575	1	-0.106	0.105	0	0.581	-0.053	0
64	Hs.371458	1	11800533	11837451	11818992	-0.0245	0.1755	1	0.212	0	0	-0.146	0.0575	1	-0.194	0.105	0	-0.565	-0.053	0
65	Hs.219140	1	11851786	11852653	11852219.5	0.1445	0.1755	1	-0.092	0	0	-0.02	0.0575	1	-0.005	0.105	0	-0.063	-0.053	0
66	Hs.438889	1	11916497	11920751	11918624	0.0085	0.1755	1	0.14	0	0	-0.35	0.0575	1	0.102	0.105	0	-0.224	-0.053	0
67	Hs.376681	1	11974634	12007831	11991232.5	0.2035	0.1755	1	0.214	0	0	-0.58	0.0575	1	0.031	0.105	0	-0.044	-0.053	0
68	Hs.256278	1	12161327	12203543	12182435	0.3245	0.1755	1	-0.151	0	0	-0.107	0.0575	1	0.276	0.105	0	-0.286	-0.053	0
69	Hs.194737	1	12228511	12504681	12366596	-0.3825	0.1755	1	0.356	0	0	-0.062	0.0575	1	-0.039	0.105	0	0.12	-0.053	0
70	Hs.468675	1	13655557	13689758	13672657.5	-0.0275	0.1755	1	0.007	0	0	-0.191	0.0575	1	-0.44	0.105	0	0.134	-0.053	0
71	Hs.413375	1	13776655	13896881	13836768	0.03	0.1755	1	-0.1215	0	0	-0.2795	0.0575	1	-0.2005	0.105	0	0.06	-0.053	0
72	Hs.368823	1	14670505	15138362	14904433.5	0.0605	0.1755	1	-0.163	0	0	0.412	0.0575	1	-0.122	0.105	0	0.123	-0.053	0
73	Hs.21	1	15528532	15543891	15536211.5	0.6165	0.1755	1	0.863	0	0	0.792	0.0575	1	0.28	0.105	0	-0.355	-0.053	0
74	Hs.329502	1	15564096	15596096	15580096	0.2445	0.1755	1	0.235	0	0	0.427	0.0575	1	0.582	0.105	0	-0.099	-0.053	0
75	Hs.9059	1	15598674	15643963	15621318.5	-0.0345	0.1755	1	-0.351	0	0	-0.619	0.0575	1	0.05	0.105	0	0.084	-0.053	0
